Label;boot;user;type;zulu is gps;zulu hour;zulu min;zulu sec;date valid;zulu day;zulu mo;zulu year;nav port;sel course;cdi;vor from;vor to;gsi;brg 1 port;brg 2 port;brg 1;brg 2;dtw/dme;type;oil pres;man pres;oil temp;fuel pres;volts;amps;rpm;fuel flow;type;gals rem;fuel lvl 1;fuel lvl 2;ems gp 1;ems gp 2;ems gp 3;gp t-couple;contact 1;contact 2;contact 3;contact 4;contact 5;contact 6;type;egt 1;egt 2;egt 3;egt 4;egt 5;egt 6;cht 1;cht 2;cht 3;cht 4;type;cht 5;cht 6;hobbs;tach;hs34 gp 1;hs34 gp 2;hs34 gp 3;type;pitch;roll;heading;turn rate;airspeed;altitude;vert spd;gz;aoa %;oat;type
1404;0;0;0;0;14;53;26;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;52;13,5625;204;5,625;14,0625;24,4375;1157;2,3125;3;24,875;0;0;-45,5625;902,6875;-1353,9375;500;1;1;0;0;0;0;4;1086;1119;1110;1092;391;463;460;454;498;481;5;294;410;8,125;4,375;0;0;0;6;0,75;1,25;44,125;-0,25;23;387;13;1;100;-46;7
1410;0;0;0;0;14;53;31;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;52;14,125;202;5,625;14,0625;25,75;1166;2,125;3;24,875;0;0;-45,5;902,25;-1352,9375;499;1;1;0;0;0;0;4;1085;1118;1109;1092;389;460;460;455;499;482;5;293;405;8,125;4,375;0;0;0;6;0,625;1,125;44,125;0,875;23,75;387;17;1,0625;100;-45;7
1416;0;0;0;0;14;53;36;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;49;12,875;200;5,625;14;22,25;940;1,625;3;24,875;0;0;-45,5;902,5625;-1362,5625;498;1;1;0;0;0;0;4;1080;1113;1105;1093;387;457;461;456;500;484;5;292;401;8,125;4,375;0;0;0;6;0;1,5;44,125;-0,5;24,75;389;49;1;100;-46;7
1422;0;0;0;0;14;53;41;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;46;10,375;200;5,625;13,9375;20,375;801;0;3;24,875;0;0;-45,5625;902,6875;-1411,3125;497;1;1;0;0;0;0;4;1045;1078;1071;1067;385;455;461;456;500;484;5;291;396;8,125;4,375;0;0;0;6;-1,25;2,5;44,125;-0,125;26;391;-4;1;100;-46;7
1428;0;0;0;0;14;53;46;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;45;10,3125;200;5,625;13,9375;18,6875;787;0,875;3;24,875;0;0;-45,5;903,875;-1484,625;496;1;1;0;0;0;0;4;1017;1050;1042;1043;384;452;461;456;500;484;5;290;392;8,125;4,375;0;0;0;6;-1,375;0,25;44,125;0,125;26;393;16;1;100;-46;7
1434;0;0;0;0;14;53;51;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;45;10,875;201;5,625;13,9375;20,5625;771;0,6875;3;24,875;0;0;-45,5;903,875;-1520;495;1;1;0;0;0;0;4;997;1034;1026;1025;382;450;460;454;499;484;5;289;387;8,125;4,375;0;0;0;6;-2,75;-1;44,125;1,25;26,5;393;10;1;100;-46;7
1440;0;0;0;0;14;53;56;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;44;10,8125;202;5,625;13,9375;19,875;776;0;3;24,875;0;0;-45,5;902,8125;-1551,6875;493;1;1;0;0;0;0;4;982;1021;1013;1011;381;447;458;452;498;483;5;287;383;8,125;4,375;0;0;0;6;-2,5;-0,25;44,125;4,75;26;393;10;1;100;-46;7
1446;0;0;0;0;14;54;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;44;10,8125;202;5,625;13,9375;20,0625;759;0;3;24,875;0;0;-45,5625;902,875;-1572,4375;492;1;1;0;0;0;0;4;970;1015;1004;1001;379;444;456;451;497;482;5;286;379;8,125;4,375;0;0;0;6;-3,25;1,375;44,125;-11,625;25;394;7;1;100;-46;7
1452;0;0;0;0;14;54;6;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;47;13,75;213;5,625;14,0625;22,9375;1016;1;3;24,875;0;0;-45,5;902,3125;-1462,8125;491;1;1;0;0;0;0;4;966;1014;995;1002;378;442;455;450;495;482;5;286;375;8,125;4,375;0;0;0;6;-3,375;-0,5;44,125;-14,875;25,25;394;3;1;100;-45;7
1458;0;0;0;0;14;54;11;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2;47;10,875;216;5,625;14;23,8125;903;1,1875;3;24,875;0;0;-45,4375;902,8125;-1462,5625;490;1;1;0;0;0;0;4;978;1024;1009;1015;376;440;455;450;495;482;5;285;372;8,125;4,375;0;0;0;6;-4;-1,125;44,125;-16;23;394;-6;1;100;-45;7
